#    L    TT             EE             BB             TE          
     2    0.92215E+02    0.30423E-02    0.48921E-02    0.68923E-01
     3    0.73991E+02    0.38354E-02    0.55710E-02   -0.66552E-01
     4    0.69246E+02    0.40139E-02    0.54020E-02   -0.10946E+00
     5    0.67311E+02    0.36304E-02    0.46863E-02   -0.11723E+00
     6    0.66450E+02    0.29391E-02    0.37411E-02   -0.10917E+00
     7    0.66131E+02    0.21859E-02    0.28093E-02   -0.95430E-01
     8    0.66097E+02    0.15459E-02    0.20324E-02   -0.81419E-01
     9    0.66239E+02    0.10941E-02    0.14639E-02   -0.69861E-01
    10    0.66475E+02    0.83869E-03    0.10994E-02   -0.60839E-01
    11    0.66724E+02    0.74278E-03    0.90678E-03   -0.54949E-01
    12    0.66874E+02    0.75695E-03    0.84439E-03   -0.51787E-01
    13    0.66973E+02    0.84080E-03    0.87316E-03   -0.50940E-01
    14    0.67106E+02    0.96088E-03    0.95847E-03   -0.52073E-01
    15    0.67292E+02    0.11008E-02    0.10791E-02   -0.54813E-01
    16    0.67521E+02    0.12502E-02    0.12193E-02   -0.58815E-01
    17    0.67731E+02    0.14066E-02    0.13714E-02   -0.63897E-01
    18    0.67862E+02    0.15693E-02    0.15306E-02   -0.69898E-01
    19    0.67909E+02    0.17387E-02    0.16951E-02   -0.76576E-01
    20    0.67884E+02    0.19151E-02    0.18642E-02   -0.83734E-01
    21    0.67804E+02    0.20984E-02    0.20375E-02   -0.91415E-01
    22    0.67682E+02    0.22879E-02    0.22147E-02   -0.99689E-01
    23    0.67521E+02    0.24822E-02    0.23955E-02   -0.10848E+00
    24    0.67318E+02    0.26803E-02    0.25795E-02   -0.11767E+00
    25    0.67081E+02    0.28823E-02    0.27661E-02   -0.12721E+00
    26    0.66812E+02    0.30884E-02    0.29550E-02   -0.13704E+00
    27    0.66512E+02    0.32981E-02    0.31463E-02   -0.14706E+00
    28    0.66179E+02    0.35108E-02    0.33404E-02   -0.15724E+00
    29    0.65816E+02    0.37282E-02    0.35370E-02   -0.16766E+00
    30    0.65427E+02    0.39519E-02    0.37359E-02   -0.17841E+00
    31    0.65012E+02    0.41814E-02    0.39368E-02   -0.18940E+00
    32    0.64569E+02    0.44155E-02    0.41392E-02   -0.20050E+00
    33    0.64101E+02    0.46516E-02    0.43430E-02   -0.21167E+00
    34    0.63608E+02    0.48878E-02    0.45481E-02   -0.22291E+00
    35    0.63093E+02    0.51257E-02    0.47539E-02   -0.23417E+00
    36    0.62558E+02    0.53671E-02    0.49601E-02   -0.24543E+00
    37    0.62003E+02    0.56126E-02    0.51668E-02   -0.25666E+00
    38    0.61425E+02    0.58618E-02    0.53743E-02   -0.26785E+00
    39    0.60827E+02    0.61140E-02    0.55821E-02   -0.27896E+00
    40    0.60210E+02    0.63684E-02    0.57895E-02   -0.28997E+00
    41    0.59576E+02    0.66241E-02    0.59959E-02   -0.30088E+00
    42    0.58925E+02    0.68810E-02    0.62011E-02   -0.31165E+00
    43    0.58258E+02    0.71388E-02    0.64048E-02   -0.32228E+00
    44    0.57575E+02    0.73974E-02    0.66069E-02   -0.33276E+00
    45    0.56879E+02    0.76566E-02    0.68072E-02   -0.34307E+00
    46    0.56167E+02    0.79162E-02    0.70054E-02   -0.35318E+00
    47    0.55443E+02    0.81760E-02    0.72013E-02   -0.36309E+00
    48    0.54706E+02    0.84358E-02    0.73946E-02   -0.37277E+00
    49    0.53957E+02    0.86954E-02    0.75850E-02   -0.38218E+00
    50    0.53198E+02    0.89546E-02    0.77723E-02   -0.39132E+00
    51    0.52428E+02    0.92132E-02    0.79560E-02   -0.40015E+00
    52    0.51648E+02    0.94709E-02    0.81362E-02   -0.40868E+00
    53    0.50860E+02    0.97273E-02    0.83126E-02   -0.41689E+00
    54    0.50063E+02    0.99820E-02    0.84851E-02   -0.42479E+00
    55    0.49260E+02    0.10235E-01    0.86535E-02   -0.43237E+00
    56    0.48451E+02    0.10485E-01    0.88176E-02   -0.43962E+00
    57    0.47636E+02    0.10733E-01    0.89774E-02   -0.44654E+00
    58    0.46816E+02    0.10979E-01    0.91326E-02   -0.45310E+00
    59    0.45991E+02    0.11222E-01    0.92831E-02   -0.45930E+00
    60    0.45163E+02    0.11462E-01    0.94287E-02   -0.46511E+00
    61    0.44332E+02    0.11698E-01    0.95692E-02   -0.47053E+00
    62    0.43498E+02    0.11932E-01    0.97045E-02   -0.47555E+00
    63    0.42662E+02    0.12162E-01    0.98346E-02   -0.48019E+00
    64    0.41825E+02    0.12389E-01    0.99593E-02   -0.48445E+00
    65    0.40987E+02    0.12612E-01    0.10079E-01   -0.48834E+00
    66    0.40150E+02    0.12832E-01    0.10192E-01   -0.49187E+00
    67    0.39313E+02    0.13048E-01    0.10301E-01   -0.49503E+00
    68    0.38477E+02    0.13259E-01    0.10403E-01   -0.49779E+00
    69    0.37644E+02    0.13465E-01    0.10500E-01   -0.50014E+00
    70    0.36813E+02    0.13666E-01    0.10591E-01   -0.50207E+00
    71    0.35986E+02    0.13861E-01    0.10676E-01   -0.50357E+00
    72    0.35162E+02    0.14050E-01    0.10755E-01   -0.50466E+00
    73    0.34343E+02    0.14233E-01    0.10828E-01   -0.50536E+00
    74    0.33528E+02    0.14413E-01    0.10895E-01   -0.50570E+00
    75    0.32718E+02    0.14587E-01    0.10956E-01   -0.50571E+00
    76    0.31913E+02    0.14758E-01    0.11012E-01   -0.50540E+00
    77    0.31113E+02    0.14924E-01    0.11061E-01   -0.50477E+00
