#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.11304E+04    0.33998E+01    0.14034E-02    0.33998E+01    0.54881E-01   -0.66902E-05    0.14034E-02   -0.66902E-05    0.81427E-08
     3    0.10521E+04    0.42507E+01    0.98654E-03    0.42507E+01    0.88313E-01   -0.57417E-05    0.98654E-03   -0.57417E-05    0.49514E-08
     4    0.97945E+03    0.43582E+01    0.74374E-03    0.43582E+01    0.97755E-01   -0.44360E-05    0.74374E-03   -0.44360E-05    0.34210E-08
     5    0.92349E+03    0.40269E+01    0.58574E-03    0.40269E+01    0.85339E-01   -0.31548E-05    0.58574E-03   -0.31548E-05    0.25403E-08
     6    0.88281E+03    0.34917E+01    0.47563E-03    0.34917E+01    0.62030E-01   -0.20312E-05    0.47563E-03   -0.20312E-05    0.19760E-08
     7    0.85448E+03    0.29010E+01    0.39533E-03    0.29010E+01    0.38882E-01   -0.11228E-05    0.39533E-03   -0.11228E-05    0.15883E-08
     8    0.83527E+03    0.23452E+01    0.33432E-03    0.23452E+01    0.22214E-01   -0.44995E-06    0.33432E-03   -0.44995E-06    0.13083E-08
     9    0.82305E+03    0.18703E+01    0.28639E-03    0.18703E+01    0.13102E-01   -0.52176E-08    0.28639E-03   -0.52176E-08    0.10985E-08
    10    0.81625E+03    0.15011E+01    0.24797E-03    0.15011E+01    0.94193E-02    0.24477E-06    0.24797E-03    0.24477E-06    0.93645E-09
    11    0.81330E+03    0.12456E+01    0.21702E-03    0.12456E+01    0.82926E-02    0.34756E-06    0.21702E-03    0.34756E-06    0.80851E-09
    12    0.81431E+03    0.11012E+01    0.19183E-03    0.11012E+01    0.77399E-02    0.34712E-06    0.19183E-03    0.34712E-06    0.70520E-09
    13    0.81748E+03    0.10436E+01    0.17109E-03    0.10436E+01    0.69109E-02    0.27757E-06    0.17109E-03    0.27757E-06    0.62073E-09
    14    0.82190E+03    0.10439E+01    0.15368E-03    0.10439E+01    0.60053E-02    0.17084E-06    0.15368E-03    0.17084E-06    0.55050E-09
    15    0.82780E+03    0.10831E+01    0.13880E-03    0.10831E+01    0.53140E-02    0.59176E-07    0.13880E-03    0.59176E-07    0.49152E-09
    16    0.83558E+03    0.11455E+01    0.12586E-03    0.11455E+01    0.50432E-02   -0.30113E-07    0.12586E-03   -0.30113E-07    0.44140E-09
    17    0.84513E+03    0.12160E+01    0.11458E-03    0.12160E+01    0.51886E-02   -0.89697E-07    0.11458E-03   -0.89697E-07    0.39850E-09
    18    0.85551E+03    0.12830E+01    0.10478E-03    0.12830E+01    0.55084E-02   -0.11926E-06    0.10478E-03   -0.11926E-06    0.36144E-09
    19    0.86754E+03    0.13411E+01    0.96199E-04    0.13411E+01    0.58698E-02   -0.12657E-06    0.96199E-04   -0.12657E-06    0.32921E-09
    20    0.87953E+03    0.13853E+01    0.88594E-04    0.13853E+01    0.62505E-02   -0.11985E-06    0.88594E-04   -0.11985E-06    0.30096E-09
    21    0.89185E+03    0.14218E+01    0.81809E-04    0.14218E+01    0.66954E-02   -0.10111E-06    0.81809E-04   -0.10111E-06    0.27609E-09
    22    0.90474E+03    0.14569E+01    0.75721E-04    0.14569E+01    0.73363E-02   -0.72367E-07    0.75721E-04   -0.72367E-07    0.25407E-09
    23    0.91803E+03    0.14922E+01    0.70258E-04    0.14922E+01    0.82281E-02   -0.41795E-07    0.70258E-04   -0.41795E-07    0.23449E-09
    24    0.93177E+03    0.15283E+01    0.65357E-04    0.15283E+01    0.93665E-02   -0.17935E-07    0.65357E-04   -0.17935E-07    0.21699E-09
    25    0.94590E+03    0.15671E+01    0.60950E-04    0.15671E+01    0.10761E-01   -0.45807E-08    0.60950E-04   -0.45807E-08    0.20129E-09
    26    0.96023E+03    0.16112E+01    0.56970E-04    0.16112E+01    0.12379E-01   -0.27907E-08    0.56970E-04   -0.27907E-08    0.18715E-09
    27    0.97499E+03    0.16577E+01    0.53357E-04    0.16577E+01    0.14178E-01   -0.74239E-08    0.53357E-04   -0.74239E-08    0.17438E-09
    28    0.99004E+03    0.17038E+01    0.50059E-04    0.17038E+01    0.16144E-01   -0.12907E-07    0.50059E-04   -0.12907E-07    0.16281E-09
    29    0.10054E+04    0.17475E+01    0.47052E-04    0.17475E+01    0.18288E-01   -0.18136E-07    0.47052E-04   -0.18136E-07    0.15228E-09
