#    L    TT             EE             BB             TE          
     2    0.25720E-05    0.66194E-08    0.64831E-08   -0.34451E-08
     3    0.46288E-05    0.18141E-07    0.18077E-07   -0.12935E-07
     4    0.77831E-05    0.33089E-07    0.32789E-07   -0.20482E-07
     5    0.12084E-04    0.53796E-07    0.53517E-07   -0.26567E-07
     6    0.17705E-04    0.77911E-07    0.77621E-07   -0.30533E-07
     7    0.24863E-04    0.10790E-06    0.10767E-06   -0.34274E-07
     8    0.33657E-04    0.14105E-06    0.14106E-06   -0.40364E-07
     9    0.44353E-04    0.18043E-06    0.18052E-06   -0.50305E-07
    10    0.57152E-04    0.22324E-06    0.22334E-06   -0.65990E-07
    11    0.72073E-04    0.27217E-06    0.27230E-06   -0.90206E-07
    12    0.89256E-04    0.32548E-06    0.32564E-06   -0.12502E-06
    13    0.10893E-03    0.38311E-06    0.38326E-06   -0.17283E-06
    14    0.13133E-03    0.44573E-06    0.44583E-06   -0.23627E-06
    15    0.15668E-03    0.51324E-06    0.51330E-06   -0.31831E-06
    16    0.18517E-03    0.58542E-06    0.58546E-06   -0.42207E-06
    17    0.21679E-03    0.66227E-06    0.66230E-06   -0.55104E-06
    18    0.25147E-03    0.74380E-06    0.74383E-06   -0.70872E-06
    19    0.28930E-03    0.83002E-06    0.83002E-06   -0.89820E-06
    20    0.33036E-03    0.92091E-06    0.92084E-06   -0.11228E-05
    21    0.37478E-03    0.10165E-05    0.10163E-05   -0.13872E-05
    22    0.42269E-03    0.11167E-05    0.11163E-05   -0.16963E-05
    23    0.47407E-03    0.12216E-05    0.12208E-05   -0.20544E-05
    24    0.52890E-03    0.13310E-05    0.13298E-05   -0.24657E-05
    25    0.58727E-03    0.14448E-05    0.14433E-05   -0.29345E-05
    26    0.64925E-03    0.15630E-05    0.15611E-05   -0.34647E-05
    27    0.71481E-03    0.16854E-05    0.16833E-05   -0.40580E-05
    28    0.78389E-03    0.18122E-05    0.18097E-05   -0.47167E-05
    29    0.85647E-03    0.19434E-05    0.19405E-05   -0.54463E-05
    30    0.93251E-03    0.20792E-05    0.20755E-05   -0.62527E-05
    31    0.10120E-02    0.22197E-05    0.22148E-05   -0.71403E-05
    32    0.10950E-02    0.23648E-05    0.23583E-05   -0.81127E-05
    33    0.11812E-02    0.25142E-05    0.25060E-05   -0.91703E-05
    34    0.12706E-02    0.26677E-05    0.26577E-05   -0.10313E-04
    35    0.13632E-02    0.28249E-05    0.28134E-05   -0.11544E-04
    36    0.14588E-02    0.29860E-05    0.29729E-05   -0.12863E-04
    37    0.15574E-02    0.31514E-05    0.31364E-05   -0.14275E-04
    38    0.16588E-02    0.33215E-05    0.33039E-05   -0.15780E-04
    39    0.17629E-02    0.34962E-05    0.34752E-05   -0.17379E-04
    40    0.18695E-02    0.36749E-05    0.36504E-05   -0.19073E-04
    41    0.19785E-02    0.38576E-05    0.38293E-05   -0.20861E-04
    42    0.20898E-02    0.40441E-05    0.40118E-05   -0.22745E-04
    43    0.22031E-02    0.42345E-05    0.41979E-05   -0.24722E-04
    44    0.23182E-02    0.44288E-05    0.43876E-05   -0.26792E-04
    45    0.24351E-02    0.46271E-05    0.45807E-05   -0.28956E-04
